PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
6053,33.31082823,130.2926797,24.585,57668.516,-47303.496,2,5030,23,29
6054,33.31082594,130.2926769,24.588,57667.814,-47304.208,2,5030,23,29
6055,33.31082366,130.2926742,24.59,57667.113,-47304.921,2,5030,23,29
6056,33.31082316,130.2926736,24.59,57666.962,-47305.074,2,5030,23,29
6057,33.31082088,130.2926709,24.592,57666.262,-47305.789,2,5030,23,29
6058,33.3108186,130.2926681,24.593,57665.562,-47306.503,2,5030,23,29
6059,33.31081631,130.2926653,24.595,57664.862,-47307.217,2,5030,23,29
6060,33.31081403,130.2926626,24.596,57664.162,-47307.931,2,5030,23,29
6061,33.31081175,130.2926598,24.598,57663.462,-47308.646,2,5030,23,29
6062,33.31080946,130.2926571,24.601,57662.762,-47309.36,2,5030,23,29
6063,33.31080718,130.2926543,24.603,57662.062,-47310.074,2,5030,23,29
6064,33.3108049,130.2926516,24.605,57661.362,-47310.788,2,5030,23,29
6065,33.31080261,130.2926488,24.608,57660.663,-47311.503,2,5030,23,29
6066,33.31080033,130.2926461,24.61,57659.963,-47312.217,2,5030,23,29
6067,33.31079805,130.2926433,24.613,57659.263,-47312.931,2,5030,23,29
6068,33.31079576,130.2926406,24.615,57658.563,-47313.645,2,5030,23,29
6069,33.31079489,130.2926395,24.616,57658.294,-47313.92,2,5030,23,29
6070,33.31089531,130.2927368,24.5,57689.107,-47288.653,2,5030,23,29
6071,33.3108964,130.2927381,24.498,57689.441,-47288.31,2,5030,23,29
6072,33.31089867,130.2927409,24.494,57690.138,-47287.593,2,5030,23,29
6073,33.31090094,130.2927437,24.489,57690.835,-47286.877,2,5030,23,29
6074,33.31090322,130.2927464,24.485,57691.533,-47286.16,2,5030,23,29
6075,33.3109055,130.2927492,24.481,57692.23,-47285.443,2,5030,23,29
6076,33.31090777,130.292752,24.477,57692.927,-47284.727,2,5030,23,29
6077,33.31091005,130.2927547,24.473,57693.625,-47284.01,2,5030,23,29
6078,33.31091232,130.2927575,24.468,57694.322,-47283.293,2,5030,23,29
6079,33.31091458,130.2927603,24.464,57695.015,-47282.572,2,5030,23,29
6080,33.3109168,130.2927631,24.459,57695.696,-47281.84,2,5030,23,29
6081,33.31091896,130.292766,24.455,57696.356,-47281.088,2,5030,23,29
